Sample Name,Sample ID,Barcode ID,MS Method,Processing Method,LC Method,Rack Type,Rack Position,Plate Type,Plate Position,Vial Position,Sample Type,Dilution Factor,Data File,Results File,Comment,Injection Volume,Marker Well
Blank_1_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A4,Unknown,1,Blank_1_EAD_15min,,,2,
Blank_2_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A4,Unknown,1,Blank_2_EAD_15min,,,2,
Blank_3_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A4,Unknown,1,Blank_3_EAD_15min,,,2,
Blank_4_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A4,Unknown,1,Blank_4_EAD_15min,,,2,
Air_QC_1_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D4,Unknown,1,Air_QC_1_EAD_15min,,,2,
Air_1A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A1,Unknown,1,Air_1A_EAD_15min,,,2,
Air_1B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A2,Unknown,1,Air_1B_EAD_15min,,,2,
Air_1C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A3,Unknown,1,Air_1C_EAD_15min,,,2,
Blank_5_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A4,Unknown,1,Blank_5_EAD_15min,,,2,
Air_2A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B1,Unknown,1,Air_2A_EAD_15min,,,2,
Air_2B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B2,Unknown,1,Air_2B_EAD_15min,,,2,
Air_2C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B3,Unknown,1,Air_2C_EAD_15min,,,2,
Blank_6_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A4,Unknown,1,Blank_6_EAD_15min,,,2,
Air_3A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C1,Unknown,1,Air_3A_EAD_15min,,,2,
Air_3B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C2,Unknown,1,Air_3B_EAD_15min,,,2,
Air_3C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C3,Unknown,1,Air_3C_EAD_15min,,,2,
Blank_7_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B4,Unknown,1,Blank_7_EAD_15min,,,2,
Air_QC_2_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D4,Unknown,1,Air_QC_2_EAD_15min,,,2,
Air_4A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D1,Unknown,1,Air_4A_EAD_15min,,,2,
Air_4B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D2,Unknown,1,Air_4B_EAD_15min,,,2,
Air_4C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D3,Unknown,1,Air_4C_EAD_15min,,,2,
Blank_8_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B4,Unknown,1,Blank_8_EAD_15min,,,2,
Air_5A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E1,Unknown,1,Air_5A_EAD_15min,,,2,
Air_5B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E2,Unknown,1,Air_5B_EAD_15min,,,2,
Air_5C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E3,Unknown,1,Air_5C_EAD_15min,,,2,
Blank_9_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B4,Unknown,1,Blank_9_EAD_15min,,,2,
Air_6A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F1,Unknown,1,Air_6A_EAD_15min,,,2,
